14,12,5,12,5,1,11,12,13,9,5,13,5,13,9,0
9,0,5,4,3,2,12,1,12,0,0,9,13,8,8,5
13,5,8,12,5,15,2,9,14,15,5,13,11,5,12,1
12,9,2,5,13,12,0,9,1,6,11,12,9,15,5,12
14,9,0,9,9,11,12,13,0,9,12,0,11,2,12,9
9,9,2,0,9,5,5,8,0,0,6,1,13,0,9,3
9,14,9,2,5,13,5,3,4,9,13,12,5,9,9,6
12,0,5,6,5,6,12,13,11,5,5,14,15,8,0,9
12,2,13,2,8,6,5,0,11,5,13,13,11,14,12,0
12,12,5,15,9,8,13,9,9,9,1,1,9,13,0,0
11,13,9,14,0,2,5,2,0,12,0,5,12,0,9,9
9,0,0,9,9,0,12,8,9,9,9,13,9,13,0,14
5,8,9,9,9,5,14,6,12,11,5,2,11,3,0,14
13,9,12,2,13,9,9,0,0,13,9,2,9,13,13
0,9,14,14,12,5,13,5,14,2,12,0,9,1,5,9
9,14,9,1,5,0,9,14,6,2,3,5,13,11,12,13
5,11,13,0,14,5,2,8,12,0,12,11,2,11,1,9
8,0,0,9,9,9,12,3,6,8,2,13,9,4,5,9
13,0,9,14,5,9,4,0,1,13,11,10,13,13,0,5
5,12,12,0,12,0,13,9,13,1,9,5,12,3,4,5
3,8,13,14,5,2,0,6,3,1,9,5,0,11,2,9
0,5,11,6,5,14,5,0,9,5,3,2,14,3,3,0
5,12,13,5,9,11,8,5,1,7,9,6,9,0,6,5
11,5,14,5,13,13,12,13,13,5,13,9,0,6,5,9
9,7,12,12,0,9,11,10,13,9,0,14,9,12,9,12
9,8,3,9,13,5,9,3,5,0,3,1,14,12,3,9
5,12,3,5,13,12,5,11,13,12,9,10,9,14,6,12
1,0,5,12,0,5,9,9,5,9,9,12,12,2,5,11
5,1,14,3,5,2,10,13,9,12,9,1,13,12,1,9
9,9,9,12,0,1,5,3,0,0,11,1,12,14,13,13
9,9,13,13,14,0,14,5,13,6,15,13,9,2,5,3
5,2,9,12,13,3,3,13,9,11,14,12,12,3,12,0
12,12,11,13,13,12,0,2,5,0,9,9,5,12,5,9
1,4,5,0,5,11,13,5,3,9,14,6,9,11,12,9
9,15,12,12,9,8,11,9,14,8,5,9,12,5,5,12
8,9,3,12,9,4,14,0,0,13,11,14,2,0,9,1
0,5,12,8,9,2,8,12,1,14,9,13,5,0,4,1
9,13,9,3,9,9,12,1,8,0,3,9,11,9,3,5
11,15,12,3,5,5,3,14,15,2,5,3,9,13,12,0
2,0,8,9,3,9,9,13,13,9,12,9,4,5,6,5
13,0,0,3,5,5,12,5,9,8,5,12,9,9,0,5
9,12,13,9,0,8,5,0,9,10,12,5,14,12,9,9
9,14,2,0,12,0,0,9,9,6,2,6,9,0,5,3
12,8,5,5,3,1,9,9,12,0,0,9,4,5,8,14
14,11,9,12,9,0,0,6,5,0,5,8,9,9,12,9
9,4,12,0,12,2,8,9,0,4,12,9,13,0,9,1
12,0,9,12,1,9,1,1,5,9,0,8,11,9,0,5
12,9,3,0,5,9,3,14,13,8,5,12,0,0,3,12
5,9,13,9,12,13,3,5,1,9,9,13,3,13,9,9
0,9,5,9,15,9,11,12,0,5,12,12,11,0,11,3
13,5,4,13,5,12,0,0,13,1,9,5,9,15,13,9
2,4,2,0,14,12,12,2,1,0,2,0,9,9,9,11
9,9,9,13,14,1,5,9,12,14,2,9,6,14,9,11
12,8,9,0,1,2,5,3,13,1,0,12,1,3,3,5
2,9,0,3,14,9,4,9,1,9,9,13,2,11,11,9
0,12,5,3,2,12,5,1,9,11,13,11,9,6,13,8
6,14,13,4,14,11,12,9,1,14,13,2,12,9,5,9
13,9,12,0,14,9,13,9,13,2,13,5,14,0,12,0
1,14,9,2,3,13,5,9,0,14,8,5,14,12,9,11
9,9,3,4,9,6,0,12,8,9,12,8,0,11,8,8
9,14,5,9,11,13,9,9,1,5,9,2,5,4,13,4
5,12,1,15,1,9,5,15,5,1,5,0,8,9,5,14
0,11,13,6,9,9,12,5,9,9,8,8,5,13,11,9
14,15,12,9,12,14,1,0,5,3,12,0,14,9,5
5,3,11,5,5,4,9,11,11,9,0,12,13,5,9,9
5,9,2,0,2,9,14,3,13,11,11,11,9,8,9,5
0,15,3,13,5,0,5,13,5,9,2,12,11,0,12,9
12,5,9,12,9,0,1,5,4,1,9,5,13,1,13,3
13,9,0,13,5,3,12,13,3,12,12,0,2,5,2,13
3,13,9,5,0,5,5,2,11,13,1,14,11,5,14,9
3,4,13,0,5,9,13,3,12,2,11,0,9,6,12,11
9,9,13,2,13,12,3,13,13,11,1,9,2,9,13,5
9,3,9,14,0,12,9,5,13,14,2,9,1,9,2,3
6,13,9,13,13,11,12,2,5,9,0,12,2,5,8,11
14,11,14,15,8,11,9,9,5,9,9,9,9,12,9,5
5,13,9,0,3,11,5,11,15,9,3,3,5,9,5,11
2,4,12,11,9,0,12,9,13,5,0,0,11,9,13,6
9,1,14,0,5,5,5,5,14,9,0,3,2,5,9,12
